ch	pt	fine_thr	a_fit	b_fit
 4	 4	 3	213.198	1.750
 4	 4	 4	212.089	1.796
 4	 4	 5	211.064	1.787
 4	 4	 6	210.230	1.852
 4	 4	 7	209.186	1.802
 4	 5	 0	216.131	2.086
 4	 5	 1	215.129	2.103
 4	 5	 2	214.261	2.111
 4	 5	 3	213.196	2.034
 4	 5	 4	212.138	1.970
 4	 5	 5	211.036	2.070
 4	 5	 6	210.156	2.156
 4	 5	 7	209.128	2.190
 4	 6	 0	216.100	2.397
 4	 6	 1	215.120	2.388
 4	 6	 2	214.221	2.361
 4	 6	 3	213.190	2.323
 4	 6	 4	212.105	2.380
 4	 6	 5	211.025	2.362
 4	 6	 6	210.182	2.346
 4	 6	 7	209.124	2.373
 4	 7	 0	216.122	2.595
 4	 7	 1	215.052	2.592
 4	 7	 2	214.180	2.550
 4	 7	 3	213.114	2.544
 4	 7	 4	212.028	2.537
 4	 7	 5	211.068	2.584
 4	 7	 6	210.142	2.620
 4	 7	 7	209.155	2.656
 5	 0	 0	227.725	2.108
 5	 0	 1	226.627	1.976
 5	 0	 2	225.710	2.102
 5	 0	 3	224.666	2.219
 5	 0	 4	223.651	2.272
 5	 0	 5	222.570	2.213
 5	 0	 6	221.594	2.245
 5	 0	 7	220.578	2.278
 5	 1	 0	227.479	1.719
 5	 1	 1	226.393	1.696
 5	 1	 2	225.472	1.675
 5	 1	 3	224.426	1.594
 5	 1	 4	223.327	1.684
 5	 1	 5	222.343	1.782
 5	 1	 6	221.316	1.689
 5	 1	 7	220.329	1.648
 5	 2	 0	227.434	1.808
 5	 2	 1	226.397	1.745
 5	 2	 2	225.409	1.796
 5	 2	 3	224.350	1.813
 5	 2	 4	223.386	1.767
 5	 2	 5	222.357	1.682
 5	 2	 6	221.260	1.787
 5	 2	 7	220.323	1.771
 5	 3	 0	227.495	2.044
 5	 3	 1	226.434	2.002
 5	 3	 2	225.536	1.969
 5	 3	 3	224.381	2.120
 5	 3	 4	223.336	1.990
 5	 3	 5	222.308	2.007
 5	 3	 6	221.454	2.026
 5	 3	 7	220.395	1.980
 5	 4	 0	227.442	2.277
 5	 4	 1	226.436	2.360
 5	 4	 2	225.453	2.281
 5	 4	 3	224.471	2.329
 5	 4	 4	223.414	2.325
 5	 4	 5	222.387	2.373
 5	 4	 6	221.315	2.434
 5	 4	 7	220.347	2.366
 5	 5	 0	227.452	2.967
 5	 5	 1	226.368	2.926
 5	 5	 2	225.505	2.985
 5	 5	 3	224.399	2.931
 5	 5	 4	223.366	2.957
 5	 5	 5	222.370	2.874
 5	 5	 6	221.199	2.945
 5	 5	 7	220.314	3.013
 5	 6	 0	227.421	3.437
 5	 6	 1	226.384	3.583
 5	 6	 2	225.508	3.482
 5	 6	 3	224.445	3.491
 5	 6	 4	223.315	3.536
 5	 6	 5	222.230	3.659
 5	 6	 6	221.321	3.429
 5	 6	 7	220.202	3.514
 5	 7	 0	227.419	3.992
 5	 7	 1	226.419	4.138
 5	 7	 2	225.405	4.046
 5	 7	 3	224.331	4.041
 5	 7	 4	223.384	4.039
 5	 7	 5	222.289	4.025
 5	 7	 6	221.354	4.037
 5	 7	 7	220.147	4.002
 6	 0	 0	226.091	2.443
 6	 0	 1	225.122	2.387
 6	 0	 2	224.149	2.366
 6	 0	 3	223.116	2.479
 6	 0	 4	222.107	2.540
 6	 0	 5	221.150	2.451
 6	 0	 6	220.175	2.470
 6	 0	 7	219.200	2.409
 6	 1	 0	225.798	2.083
 6	 1	 1	224.794	1.967
 6	 1	 2	223.812	2.003
 6	 1	 3	222.829	2.001
 6	 1	 4	221.760	1.986
