ch	pt	fine_thr	a_fit	b_fit
 6	 0	 6	227.130	2.904
 6	 0	 7	226.326	2.907
 6	 1	 0	232.659	2.413
 6	 1	 1	231.733	2.379
 6	 1	 2	230.788	2.217
 6	 1	 3	229.774	2.437
 6	 1	 4	228.833	2.438
 6	 1	 5	227.904	2.445
 6	 1	 6	226.908	1.773
 6	 1	 7	225.989	1.842
 6	 2	 0	232.506	1.948
 6	 2	 1	231.512	1.888
 6	 2	 2	230.557	1.790
 6	 2	 3	229.629	1.823
 6	 2	 4	228.651	1.805
 6	 2	 5	227.659	1.245
 6	 2	 6	226.783	1.316
 6	 2	 7	225.802	1.255
 6	 3	 0	232.325	1.663
 6	 3	 1	231.305	1.702
 6	 3	 2	230.318	1.670
 6	 3	 3	229.376	1.485
 6	 3	 4	228.535	1.632
 6	 3	 5	227.479	0.960
 6	 3	 6	226.531	1.019
 6	 3	 7	225.556	0.951
 6	 4	 0	232.266	1.319
 6	 4	 1	231.393	1.281
 6	 4	 2	230.337	1.284
 6	 4	 3	229.390	1.151
 6	 4	 4	228.426	1.240
 6	 4	 5	227.464	0.604
 6	 4	 6	226.526	0.644
 6	 4	 7	225.616	0.710
 6	 5	 0	232.321	0.795
 6	 5	 1	231.361	0.914
 6	 5	 2	230.418	0.781
 6	 5	 3	229.483	0.733
 6	 5	 4	228.573	0.891
 6	 5	 5	227.620	0.431
 6	 5	 6	226.615	0.419
 6	 5	 7	225.729	0.435
 6	 6	 0	232.419	0.779
 6	 6	 1	231.455	0.818
 6	 6	 2	230.511	0.871
 6	 6	 3	229.577	0.894
 6	 6	 4	228.629	0.787
 6	 6	 5	227.654	0.451
 6	 6	 6	226.701	0.454
 6	 6	 7	225.792	0.429
 6	 7	 0	232.537	0.778
 6	 7	 1	231.596	0.732
 6	 7	 2	230.579	0.685
 6	 7	 3	229.596	0.660
 6	 7	 4	228.707	0.767
 6	 7	 5	227.764	0.418
 6	 7	 6	226.732	0.405
 6	 7	 7	225.812	0.396
 7	 0	 0	222.240	2.970
 7	 0	 1	221.194	2.975
 7	 0	 2	220.261	2.890
 7	 0	 3	219.335	2.938
 7	 0	 4	218.342	2.816
 7	 0	 5	217.437	2.815
 7	 0	 6	216.293	1.383
 7	 0	 7	215.331	1.478
 7	 1	 0	221.842	2.030
 7	 1	 1	220.859	2.116
 7	 1	 2	219.959	1.898
 7	 1	 3	219.042	2.011
 7	 1	 4	218.069	2.118
 7	 1	 5	217.176	2.001
 7	 1	 6	216.187	0.995
 7	 1	 7	215.225	0.977
 7	 2	 0	221.681	1.575
 7	 2	 1	220.792	1.727
 7	 2	 2	219.842	1.673
 7	 2	 3	218.994	1.536
 7	 2	 4	218.002	1.649
 7	 2	 5	217.051	0.708
 7	 2	 6	216.152	0.807
 7	 2	 7	215.117	0.747
 7	 3	 0	221.660	1.456
 7	 3	 1	220.755	1.391
 7	 3	 2	219.839	1.489
 7	 3	 3	218.937	1.399
 7	 3	 4	217.952	1.408
 7	 3	 5	217.029	0.614
 7	 3	 6	216.079	0.677
 7	 3	 7	215.144	0.705
 7	 4	 0	221.656	1.364
 7	 4	 1	220.676	1.211
 7	 4	 2	219.828	1.343
 7	 4	 3	218.904	1.355
 7	 4	 4	217.930	1.337
 7	 4	 5	217.077	0.600
 7	 4	 6	216.106	0.611
 7	 4	 7	215.118	0.620
 7	 5	 0	221.648	1.257
 7	 5	 1	220.720	1.171
 7	 5	 2	219.823	1.188
 7	 5	 3	218.834	1.135
 7	 5	 4	217.908	1.179
