Energy_IN	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
1400	834.26	881.49	886.97	829.93	903.12	843.13	890.05	823.38	891.53	878.06	873.49	878.79	830.71	807.42	861.36	832.35	885.8	860.94	897.55	850.81	938.26	826.74	894.81	894.69	874.71	899.93	920.78	866.07	837.48	885.7	850.77	843.14
1600	856.72	906.33	910.65	852.84	926.78	866.83	914.33	846.74	915.8	901.96	897.08	903.46	853.83	831.5	884.49	856.37	909.57	884.73	921.51	873.42	963.12	849.24	918.66	918.18	898.39	922.87	946.02	888.71	860.53	908.75	873.72	865.85
1800	878.14	926.84	931.83	873.33	948.86	888.33	937.22	873.95	938.51	924.18	919.86	926.06	875.27	852.86	906.06	876.14	930.4	905.7	941.42	894.16	985.08	870.04	940.51	939.71	919.88	944.14	968.19	909.68	881.53	929.4	894.49	887.22
2000	896.03	944.91	949.14	890.59	966.81	906.02	955.05	891.69	956.38	942.04	937.58	943.98	892.64	870.81	923.06	894.56	948.99	922.91	959.66	911.55	1003.58	887.55	958.24	957.49	937.59	961.54	985.99	925.47	899.48	947.07	912.18	902.91
4000	1011.04	1060.68	1064.87	1004.06	1085.06	1022.31	1075.19	1008.27	1077.84	1062.58	1056.86	1064.53	1010.16	988.4	1039.55	1011.55	1068.74	1041.17	1076.53	1028.14	1123.19	1001.26	1076.21	1074.7	1054.57	1077.81	1105.48	1040.05	1012.51	1061.18	1026.6	1015.99
6000	1081.04	1129.29	1134.25	1073.14	1153.01	1091.78	1139.19	1077.94	1147.36	1131.23	1126.19	1133.47	1080.24	1058.64	1109.43	1081.05	1139.53	1109.93	1145.22	1096.73	1192.41	1070.4	1144.2	1141.79	1123.69	1145.18	1173.67	1109.39	1082.23	1129.93	1094.6	1085.81
8000	1135.5	1181.68	1185.84	1124.14	1204.96	1143.31	1196.4	1129.55	1200.14	1183.76	1178.52	1186.55	1133.15	1111.33	1161.77	1133.36	1192.13	1162.9	1198.27	1148.55	1245.09	1122.39	1196.74	1193.85	1174.96	1196.58	1226.13	1161.55	1133.72	1182.13	1146.25	1134.13
10000	1183.87	1224.37	1229.23	1167.99	1248.13	1186.43	1240.25	1173.23	1244.1	1227.07	1222.53	1230.24	1177.12	1155.19	1205.39	1177.34	1236.23	1206.72	1242.6	1192.87	1289.48	1166.08	1240.27	1236.78	1217.95	1239.03	1269.27	1204.63	1177.93	1225.29	1189.64	1183.17
12000	1216.57	1262.45	1266.79	1205.06	1286.57	1224.11	1277.88	1203.69	1282.34	1265.18	1260	1268.46	1215.19	1193.77	1243.89	1215.45	1275.37	1244.9	1280.76	1231.05	1326.97	1203.52	1277.23	1273.85	1255.05	1276.86	1308.19	1242.23	1214.61	1263.3	1227.48	1225.55
14000	1249.33	1297.5	1301.28	1239.25	1320.98	1258.09	1313.14	1238.53	1317.39	1300.51	1296.05	1303.9	1250.33	1228.46	1279.24	1250.92	1311.56	1280.57	1316.12	1264.64	1360.51	1237.23	1312.61	1308.13	1289.42	1311.51	1341.21	1276.3	1249.23	1298.27	1261.44	1259.35
16000	1280.26	1328.66	1332.67	1269.84	1351.89	1289.62	1343.91	1269.58	1348.55	1330.9	1326.82	1334.65	1282.2	1260.03	1310.97	1283.46	1343.37	1312.1	1347.22	1297.08	1391.99	1268.34	1343.05	1338.44	1320.34	1341.78	1372.3	1307.31	1280.86	1329.32	1293.3	1288.81
18000	1309.5	1358.55	1362.07	1299.6	1380.27	1318.39	1372.74	1298.41	1377.18	1358.66	1354.43	1363.56	1310.63	1289.24	1339.22	1312.7	1373.44	1340.94	1376.58	1325.74	1419.95	1297.71	1371.58	1367.3	1348.57	1370.71	1401.2	1336.51	1310.89	1358.92	1323.35	1316.79
20000	1336.4	1385.75	1389.57	1327.21	1408.48	1346.97	1401.41	1327.56	1407.08	1388.62	1384.11	1391.63	1339.21	1318.34	1368.47	1340.08	1402.03	1369.3	1404.36	1354.51	1446.36	1326.32	1399.73	1395.26	1377.01	1398.4	1429.64	1365.09	1337.65	1386.74	1350.76	1342.06
22000	1363.97	1412.12	1415.63	1353.49	1435.21	1373.53	1427.18	1353.24	1431.98	1412.81	1408.92	1417.36	1365.11	1343.09	1393.27	1366.14	1428.38	1395.19	1430.97	1381.03	1473.76	1352.1	1425.67	1420.57	1401.58	1424.16	1455.17	1390.33	1364.05	1411.79	1376.74	1365.26
24000	1389.27	1437.7	1441.93	1378.68	1460.33	1397.7	1452.73	1379.67	1457.5	1438.18	1435.24	1443.36	1390.22	1369.28	1419.38	1391.24	1453.87	1420.82	1455.92	1405.73	1499.49	1377.14	1450.89	1446.15	1427.47	1449.7	1480.52	1416.45	1389.71	1438.29	1401.79	1392.33
26000	1413.57	1461.88	1465.35	1402.68	1485.58	1422.72	1477.11	1403.68	1482.17	1463.09	1459.25	1467.45	1415.32	1393.73	1444.88	1416.45	1478.32	1445.59	1481.16	1430.65	1523.98	1401.09	1474.72	1468.8	1451.91	1473.08	1504.91	1441.27	1413.74	1462.18	1426.74	1416
28000	1437.39	1485.94	1489.41	1427.02	1509.2	1446.26	1500.74	1427.63	1505.68	1486.72	1480.75	1490.97	1438.77	1417.05	1467.49	1439.12	1502.37	1468.43	1504.53	1454.19	1547.06	1425	1498.12	1492.86	1474.33	1497.13	1527.95	1464.6	1437.58	1486.56	1450.33	1438.11
30000	1460.35	1509.4	1512.27	1450.08	1531.91	1469.82	1524.97	1451.92	1529.85	1510.57	1507.36	1514.88	1461.9	1440.42	1490.83	1461.87	1525.71	1492.29	1527.99	1476.98	1570.89	1448.27	1521.64	1515.72	1498.92	1519.94	1551.97	1487.75	1461.08	1509.05	1472.78	1461
32000	1482.97	1531.35	1535.41	1472.55	1555.66	1492.56	1548.4	1474.56	1553.63	1532.82	1529.67	1537.17	1484.94	1462.7	1513.39	1484.3	1549.29	1514.94	1551.87	1500.31	1592.79	1470.32	1544.51	1538.31	1520.64	1543.35	1574.61	1511.1	1483.67	1531.35	1495.64	1484.71
34000	1504.75	1553.52	1557.35	1493.77	1576.28	1513.63	1568.71	1494.87	1572.38	1553.04	1550.15	1557.77	1505.34	1483.7	1533.44	1505.29	1570.91	1535.54	1572.29	1520.47	1613.37	1491.63	1566.03	1559.1	1542.1	1564.26	1595.56	1531.53	1505.34	1554.53	1517.12	1504.38
36000	1526.22	1575.49	1578.91	1515.63	1598.08	1536.07	1590.96	1517.72	1595.44	1575.68	1573.38	1580.26	1526.9	1505.65	1557.37	1527.31	1592.16	1558.53	1594.32	1542.88	1636.19	1514.02	1587.93	1581.05	1564.57	1585.95	1617.55	1554.73	1526.8	1575.84	1539.3	1524.83
38000	1548.16	1596.7	1599.56	1536.75	1619.42	1556.19	1611.65	1538.08	1615.79	1595	1592.08	1600.02	1548.15	1526.01	1577.33	1544.92	1613.11	1578.73	1615.3	1564.08	1656.13	1534.4	1607.91	1600.89	1584.27	1606.98	1638.5	1575.82	1548.72	1596.36	1560.85	1544.49
40000	1570.02	1618.38	1621.08	1558.57	1640.88	1579.03	1634.07	1560.84	1638.69	1618.18	1615.35	1622.63	1570.48	1548.89	1598.57	1570	1635.98	1600.05	1637.06	1585.67	1677.49	1557.08	1630.08	1622.85	1606.04	1628.68	1658.82	1595.95	1570.16	1618.73	1581.47	1568.86
