GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 9	 7	0.751	161.550	0.9997	0.286	0.755	161.355	0.9996	0.330	0.842	159.044	0.9956	1.649	0.845	158.980	0.9956	1.653
10	 0	1.297	164.210	0.9984	1.151	1.317	162.719	0.9956	1.968	1.808	146.384	0.9996	5.827	1.789	147.484	0.9995	6.163
10	 1	0.975	165.075	0.9938	1.721	0.979	165.082	0.9899	2.211	1.372	149.189	0.9971	3.817	1.346	150.731	0.9972	4.235
10	 2	0.833	162.465	0.9977	0.901	0.837	162.261	0.9964	1.127	1.161	146.700	0.9916	3.489	1.160	146.894	0.9921	3.612
10	 3	0.855	154.685	0.9948	1.389	0.854	154.734	0.9966	1.122	1.084	144.421	0.9956	2.934	1.082	144.627	0.9958	2.494
10	 4	0.808	153.960	0.9986	0.667	0.808	153.960	0.9986	0.667	1.033	143.235	0.9939	2.340	1.027	143.422	0.9942	2.340
10	 5	0.860	146.100	0.9906	1.874	0.844	147.423	0.9897	1.921	1.006	141.206	0.9942	2.327	1.012	141.007	0.9941	2.588
10	 6	0.750	151.430	0.9971	0.902	0.750	151.430	0.9971	0.902	0.941	141.502	0.9971	2.449	0.939	141.625	0.9971	2.545
10	 7	0.845	141.945	0.9987	0.672	0.845	141.945	0.9987	0.672	0.898	141.669	0.9963	1.422	0.898	141.669	0.9963	1.422
11	 0	1.057	165.775	0.9934	1.932	1.066	165.359	0.9878	2.645	1.550	147.557	0.9994	6.009	1.531	148.674	0.9993	6.208
11	 1	0.826	162.040	0.9941	1.427	0.826	162.202	0.9931	1.538	1.167	148.168	0.9968	3.417	1.135	149.731	0.9971	3.890
11	 2	0.724	159.385	0.9980	0.723	0.722	159.721	0.9952	1.122	1.015	145.358	0.9913	3.011	1.015	145.689	0.9919	3.114
11	 3	0.774	151.820	0.9952	1.201	0.766	152.782	0.9953	1.179	0.986	143.013	0.9957	2.102	0.993	143.025	0.9956	1.992
11	 4	0.730	151.975	0.9974	0.837	0.730	151.975	0.9974	0.837	0.949	142.009	0.9930	1.868	0.943	142.326	0.9937	1.874
11	 5	0.770	146.540	0.9930	1.448	0.754	147.913	0.9932	1.392	0.949	140.021	0.9935	1.883	0.955	139.836	0.9934	1.996
11	 6	0.719	148.395	0.9943	1.221	0.719	148.451	0.9937	1.281	0.897	140.498	0.9965	1.805	0.900	140.445	0.9965	1.830
